,Unnamed: 0,polarity,user,text
0,0,0,scotthamilton,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!
1,1,1,mattycus,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds
2,2,0,ElleCTF,my whole body feels itchy and like its on fire 
3,3,0,Karoli,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. "
4,4,0,joy_wolf,@Kwesidei not the whole crew 
5,5,1,mybirch,Need a hug 
6,6,1,coZZ,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?"
7,7,0,2Hood4Hollywood,@Tatiana_K nope they didn't have it 
8,8,0,mimismo,@twittera que me muera ? 
9,9,0,erinx3leannexo,spring break in plain city... it's snowing 
10,10,0,pardonlauren,I just re-pierced my ears 
11,11,0,TLeC,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .
12,12,0,robrobbierobert,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore "
13,13,0,bayofwolves,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown."
14,14,0,HairByJess,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!
15,15,0,lovesongwriter,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?
16,16,0,armotley,about to file taxes 
17,17,1,starkissed,@LettyA ahh ive always wanted to see rent  love the soundtrack!!
18,18,1,gi_gi_bee,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? 
19,19,0,quanvu,@alydesigns i was out most of the day so didn't get much done 
20,20,0,swinspeedx,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* "
21,21,0,cooliodoc,@angry_barista I baked you a cake but I ated it 
22,22,0,viJILLante,this week is not going as i had hoped 
23,23,0,Ljelli3166,blagh class at 8 tomorrow 
24,24,0,ChicagoCubbie,I hate when I have to call and wake people up 
25,25,0,KatieAngell,Just going to cry myself to sleep after watching Marley and Me.  
26,26,0,gagoo,im sad now  Miss.Lilly
27,27,1,abel209,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again 
28,28,0,BaptisteTheFool,Meh... Almost Lover is the exception... this track gets me depressed every time. 
29,29,0,fatkat309,some1 hacked my account on aim  now i have to make a new one
30,30,1,EmCDL,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though
31,31,0,merisssa,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! 
32,32,1,Pbearfox,@julieebaby awe i love you too!!!! 1 am here  i miss you
33,33,0,jsoo,@HumpNinja I cry my asian eyes to sleep at night 
34,34,0,scarletletterm,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now 
35,35,1,crosland_12,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...
36,36,0,ajaxpro,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge
37,37,0,Tmttq86,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. 
38,38,0,Anthony_Nguyen,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend 
